what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1247018210560
java.runtime.version,sysinfo,,,"1.5.0_19-b02-304",1247018210560
java.specification.name,sysinfo,,,"Java Platform API Specification",1247018210560
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1247018210560
java.specification.version,sysinfo,,,"1.5",1247018210560
java.vendor,sysinfo,,,"Apple Inc.",1247018210560
java.version,sysinfo,,,"1.5.0_19",1247018210560
java.vm.info,sysinfo,,,"mixed mode",1247018210560
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1247018210560
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1247018210560
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1247018210560
java.vm.specification.version,sysinfo,,,"1.0",1247018210560
java.vm.vendor,sysinfo,,,"Apple Inc.",1247018210560
java.vm.version,sysinfo,,,"1.5.0_19-137",1247018210560
opened,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1247018213145
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1247018213167
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.TypeHierarchy",1247018215089
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1247018219970
closed,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.TypeHierarchy",1247018219976
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1247018222420
closed,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1247018222428
opened,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1247018238032
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1247018238056
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.navigate.showIn",1247018239454
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1247018248904
